                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6992,                  6.724,                 2.2869,                0.00175,                0.15963,                0.00139,                0.00064,                 1.6058,                  5.797,                 2.0484,                0.09703,                  3e-05,                  3e-05
                      2,                   1.37,                 3.2705,                 1.7764,                0.00261,                0.41929,                0.00725,                0.00329,                 1.8559,                 4.2511,                 2.2006,               0.093069,             6.8614e-05,             6.8614e-05
                      3,                 1.2835,                  2.378,                 1.6426,                0.37607,                0.07481,                0.08583,                0.04196,                 1.8189,                 3.4666,                 2.1517,               0.089106,             0.00010564,             0.00010564
                      4,                 1.0805,                 2.0198,                 1.5757,                0.45831,                0.18456,                0.21068,                0.11755,                 1.6051,                 2.9143,                 2.0056,               0.085141,             0.00014109,             0.00014109
                      5,                  1.119,                 1.7223,                 1.5322,                0.62563,                0.25419,                0.27933,                0.15749,                 1.4993,                 2.6408,                  1.919,               0.081175,             0.00017495,             0.00017495
                      6,                 1.0075,                 1.6337,                 1.4685,                0.53016,                0.34318,                 0.3944,                 0.2271,                 1.4091,                 2.2767,                 1.7981,               0.077207,             0.00020723,             0.00020723
                      7,                 1.0228,                 1.6871,                 1.4722,                0.51843,                0.41724,                0.44909,                 0.2726,                 1.3521,                 2.0286,                 1.7072,               0.073238,             0.00023792,             0.00023792
                      8,                 1.0105,                 1.4165,                 1.3985,                0.58593,                0.43345,                0.48614,                0.31487,                 1.3065,                 1.8549,                 1.6523,               0.069267,             0.00026703,             0.00026703
                      9,                0.94546,                 1.2696,                 1.4071,                0.64042,                0.55299,                0.55753,                0.37506,                 1.2201,                 1.6838,                 1.5582,               0.065295,             0.00029456,             0.00029456
                     10,                0.95779,                 1.1341,                 1.3947,                0.62052,                0.58319,                0.60079,                0.40473,                 1.1567,                 1.5151,                 1.4975,               0.061321,              0.0003205,              0.0003205
                     11,                0.94006,                 1.0463,                 1.3669,                0.73836,                0.73981,                0.72619,                0.49436,                 1.1077,                 1.3261,                 1.4611,               0.057345,             0.00034486,             0.00034486
                     12,                0.88117,                 0.9715,                 1.2786,                0.89024,                0.73936,                0.81383,                0.57963,                 1.0568,                 1.1584,                 1.4294,               0.053368,             0.00036763,             0.00036763
                     13,                0.76623,                0.87273,                 1.2447,                0.97034,                0.75227,                0.85422,                0.63945,                0.99454,                 1.0389,                 1.3796,               0.049389,             0.00038882,             0.00038882
                     14,                0.83484,                0.81316,                 1.2554,                0.94561,                0.78053,                0.89605,                0.67669,                0.95253,                0.98689,                 1.3493,               0.045408,             0.00040843,             0.00040843
                     15,                0.73819,                0.77437,                 1.2363,                0.96168,                0.81932,                0.94276,                0.71219,                0.97486,                0.91428,                 1.3449,               0.041426,             0.00042645,             0.00042645
                     16,                0.75939,                0.74295,                 1.1837,                0.85139,                0.93976,                 0.9455,                0.71423,                0.98556,                0.86573,                 1.3368,               0.037443,             0.00044289,             0.00044289
                     17,                0.68321,                0.71057,                 1.1203,                0.87769,                0.94794,                0.94232,                0.71976,                 0.9871,                0.81668,                 1.3288,               0.033458,             0.00045774,             0.00045774
                     18,                 0.6738,                0.63713,                 1.1341,                 0.9306,                0.94847,                 0.9529,                0.76205,                0.86197,                0.69025,                 1.2472,               0.029471,             0.00047101,             0.00047101
                     19,                0.67725,                  0.654,                 1.1515,                 0.9325,                0.95238,                0.95741,                0.77674,                0.79257,                0.65476,                 1.1997,               0.025483,              0.0004827,              0.0004827
                     20,                0.66217,                0.61626,                 1.1232,                0.93462,                0.93836,                0.96224,                0.77749,                0.76728,                0.62836,                 1.1805,               0.021493,              0.0004928,              0.0004928
                     21,                0.66386,                 0.5973,                 1.1032,                0.96751,                0.90476,                0.96632,                0.79349,                0.74116,                0.58752,                 1.1965,               0.017501,             0.00050132,             0.00050132
                     22,                0.66305,                0.56432,                 1.1025,                0.88861,                 0.9679,                0.97395,                0.79526,                0.75844,                0.57313,                 1.2171,               0.013508,             0.00050825,             0.00050825
                     23,                0.70655,                0.55263,                 1.1947,                 0.8978,                0.96971,                0.97395,                0.79015,                0.75923,                0.56451,                 1.2018,              0.0095136,              0.0005136,              0.0005136
                     24,                0.64184,                0.55422,                 1.0885,                0.92121,                 0.9589,                0.97548,                0.81022,                0.70306,                0.55145,                 1.1541,              0.0055174,             0.00051737,             0.00051737
                     25,                0.64347,                0.56947,                 1.0694,                0.94065,                0.95238,                0.97101,                0.81853,                0.64668,                0.52984,                 1.1174,              0.0015196,             0.00051955,             0.00051955
                     26,                0.56735,                0.52899,                 1.0393,                0.94979,                0.95559,                0.98119,                0.82583,                0.62287,                0.51791,                  1.093,               0.000505,               0.000505,               0.000505
                     27,                0.60877,                0.52245,                 1.0866,                0.94308,                0.96277,                0.98119,                0.84169,                0.61738,                0.50423,                 1.0821,              0.0004852,              0.0004852,              0.0004852
                     28,                0.56272,                0.50462,                 1.0766,                0.94144,                0.97619,                0.98119,                0.85278,                0.61153,                0.49569,                 1.0625,              0.0004654,              0.0004654,              0.0004654
                     29,                 0.6039,                0.49436,                 1.0297,                0.93335,                0.97513,                0.97776,                0.86043,                0.61087,                0.49116,                 1.0488,              0.0004456,              0.0004456,              0.0004456
                     30,                0.55164,                0.46227,                 1.0656,                0.97259,                0.97089,                0.98357,                0.85655,                0.61331,                0.48919,                 1.0389,              0.0004258,              0.0004258,              0.0004258
                     31,                0.57429,                0.47808,                 1.0354,                0.96707,                0.97619,                0.98586,                0.85706,                0.61236,                0.48216,                 1.0349,               0.000406,               0.000406,               0.000406
                     32,                0.52823,                0.45321,                 1.0168,                0.96357,                0.97619,                0.98461,                0.84925,                0.60243,                0.47307,                 1.0254,              0.0003862,              0.0003862,              0.0003862
                     33,                0.47046,                0.44059,                 1.0053,                0.96635,                0.97389,                0.98461,                0.85606,                0.57964,                0.46076,                 1.0114,              0.0003664,              0.0003664,              0.0003664
                     34,                0.50838,                0.43371,                  1.013,                0.97082,                0.97239,                0.98357,                0.87103,                0.55057,                0.45107,                0.99252,              0.0003466,              0.0003466,              0.0003466
                     35,                0.47699,                0.46528,                0.98225,                0.97188,                0.97275,                0.98461,                0.88356,                0.53531,                0.43618,                0.98235,              0.0003268,              0.0003268,              0.0003268
                     36,                0.47884,                0.40825,                  1.015,                0.97262,                0.96774,                0.98461,                0.88623,                0.51767,                0.42786,                0.97141,               0.000307,               0.000307,               0.000307
                     37,                 0.4455,                0.40464,                0.98164,                0.97579,                0.96875,                0.98738,                0.88975,                0.50302,                0.41772,                0.96265,              0.0002872,              0.0002872,              0.0002872
                     38,                0.47486,                0.40772,                 0.9729,                0.97724,                0.97044,                0.99173,                0.89405,                0.50128,                0.41273,                0.96026,              0.0002674,              0.0002674,              0.0002674
                     39,                0.45248,                0.40095,                0.98112,                 0.9778,                0.98027,                  0.995,                0.90114,                0.50504,                0.40946,                0.96022,              0.0002476,              0.0002476,              0.0002476
                     40,                0.50019,                 0.4425,                0.98555,                0.97919,                0.97947,                  0.995,                0.90401,                 0.5147,                0.40622,                0.96321,              0.0002278,              0.0002278,              0.0002278
                     41,                  0.414,                0.39389,                0.98908,                  0.978,                0.97904,                  0.995,                0.90207,                0.52094,                0.40358,                 0.9664,               0.000208,               0.000208,               0.000208
                     42,                0.43912,                0.39938,                0.95814,                0.97455,                0.97991,                  0.995,                 0.9006,                 0.5277,                0.40214,                 0.9701,              0.0001882,              0.0001882,              0.0001882
                     43,                0.44457,                0.39652,                0.94952,                0.95753,                0.99497,                  0.995,                0.90012,                  0.527,                0.39875,                0.97127,              0.0001684,              0.0001684,              0.0001684
                     44,                0.42111,                0.38751,                0.96905,                0.95813,                0.99529,                  0.995,                0.89706,                0.52463,                0.39753,                0.97136,              0.0001486,              0.0001486,              0.0001486
                     45,                0.42518,                0.38334,                0.89983,                0.95869,                0.99535,                  0.995,                0.89604,                0.51711,                0.39359,                0.96905,              0.0001288,              0.0001288,              0.0001288
                     46,                 0.4194,                0.38339,                  0.943,                0.96004,                0.99525,                  0.995,                 0.9008,                0.51303,                0.39125,                0.96929,               0.000109,               0.000109,               0.000109
                     47,                0.39433,                 0.3629,                0.94684,                0.95961,                 0.9954,                  0.995,                0.90111,                0.50789,                0.39052,                0.96874,               8.92e-05,               8.92e-05,               8.92e-05
                     48,                0.40712,                0.36574,                 0.9407,                0.95998,                0.99574,                  0.995,                0.90416,                0.50146,                0.38734,                0.96709,               6.94e-05,               6.94e-05,               6.94e-05
                     49,                0.39074,                0.38329,                0.96972,                0.96085,                0.99607,                  0.995,                0.90258,                0.49518,                0.38342,                0.96449,               4.96e-05,               4.96e-05,               4.96e-05
                     50,                0.44499,                0.37788,                  1.001,                0.96063,                0.99608,                  0.995,                0.90233,                0.49204,                0.38082,                0.96254,               2.98e-05,               2.98e-05,               2.98e-05
